,Empty,YFP,1pok-misfolded,1pok-fiber,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,nEmpty,nYFP,n1pok-misfolded,n1pok-fiber,yEmpty,yYFP,y1pok-misfolded,y1pok-fiber,rEmpty,rYFP,r1pok-misfolded,r1pok-fiber
1,-0.012126315789474,0,NA,-0.025150623110721,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,190,2,NA,1138,28.9994052631579,453.2755,NA,444.118976274165,2029.86562631579,647.099,NA,2396.69806151142
2,-0.002215447154472,0,NA,-0.00684390599455,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,246,14,NA,367,28.512918699187,679.618928571429,NA,474.739430517711,1104.09456910569,715.546928571429,NA,1284.3196893733
3,-0.03975,0.1355625,NA,-0.034772108843537,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,44,16,NA,588,29.7247272727273,586.55,NA,501.708525510204,635.596204545454,201.697625,NA,632.025102040816
4,-0.04565991902834,0.106352941176471,NA,0.044378157865169,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,247,17,NA,534,26.078028340081,819.101294117647,NA,463.058220973783,315.909935222672,134.455823529412,NA,382.8900917603
5,0.021421052631579,0,NA,-0.006046321525886,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,209,2,NA,367,29.2788947368421,757.0175,NA,459.371111716621,106.034693779904,36.959,NA,94.0343841961853
6,-0.000446700507614,0.018,NA,0.006589887640449,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,394,50,NA,534,26.0247335025381,576.77112,NA,464.037679775281,357.675969543147,347.05898,NA,369.559597378277
7,-0.027255924170616,-0.04365,NA,-0.02355979202773,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,211,20,NA,577,28.3810758293839,785.64185,NA,471.439965337955,486.788431279621,182.83995,NA,519.090202772964
8,0.000765735059761,0.0450625,NA,-0.001811320754717,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,502,16,NA,53,27.5269262948207,628.435375,NA,446.731981132075,40.9734243027888,17.437375,NA,37.6096226415094
9,-0.009054054054054,0.081055555555556,NA,-0.020943120676403,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,37,18,NA,1301,30.1954864864865,714.498,NA,466.282965411222,492.803945945946,169.921,NA,487.013736356649
10,-0.033607945257453,0.019766666666667,NA,-0.028234178629442,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,369,30,NA,1970,27.3097967479675,687.242566666667,NA,438.580276142132,151.586701897019,78.1777,NA,172.809816751269
11,-0.032415415415415,0.06737037037037,NA,0.014262948207171,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,999,27,NA,251,28.3760580580581,594.348740740741,NA,536.131788844621,179.911774774775,57.0127037037037,NA,176.266458167331
