,3n75 fiber,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 fiber,nhalf,nfiber,nwt,y3n75 fiber,yhalf,yfiber,ywt,r3n75 fiber,rhalf,rfiber,rwt
1,2793.59850034083,2801.85593220339,2646.42404632153,2745.98161607525,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,4401,3186,2936,2339,1518.33854919337,47.2296723163842,80.9098419618529,155.282690038478,1725.60803362872,1736.06015599498,1652.95579427793,1731.98577126977
2,1443.18197183099,1343.57043650794,1126.23643564356,1164.81720430108,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,1775,1008,2525,744,1653.06234535211,44.4946785714286,74.8045112871287,150.251733870968,332.216801690141,339.615083333333,300.567115247525,333.50675672043
3,532.026940346376,554.741548527808,528.409741144414,526.451630434783,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,1559,917,2936,1840,1524.45057985888,44.1523685932388,76.8912234332425,148.961489673913,310.198029506094,325.852258451472,310.564379087193,309.420999456522
4,659.006980802792,642.698060941828,654.665623777865,610.582306830907,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,573,361,2557,893,1615.76466841187,45.2430831024931,75.0338642940946,151.578488241881,153.608972076789,150.394512465374,150.936818146265,147.763481522956
5,90.5494966442953,90.0578139114725,87.1854684512428,88.2166064981949,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,1192,1107,523,831,1591.26291442953,41.7209069557362,81.5076921606119,152.434640192539,54.1524018456376,53.4297100271003,52.5563862332696,52.307797833935
6,705.618694362018,665.625484764543,712.970530451866,673.34168157424,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,674,1805,1018,1118,1727.54537388724,39.7489324099723,76.144699410609,147.556472271914,222.843666172107,207.485267590028,209.597033398821,203.647394454383
7,140.475856014047,141.498883928571,141.135391923991,136.673570463755,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,1139,896,842,2221,1534.91250219491,43.0436383928571,81.0618657957245,148.465797838811,77.1183257243196,78.1511707589286,77.9722992874109,75.0495826204412
8,41.3869271224643,38.4983388704319,38.7256637168142,37.5656424581006,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,1331,301,339,1432,1586.13806386176,44.3802325581395,81.3692182890856,152.22061103352,23.7575462058603,21.3929534883721,20.3692684365782,20.5650384078212
9,305.950276243094,256.076595744681,271.972392638037,200.29718875502,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,362,235,326,498,1786.23038674033,47.6302808510638,84.1024662576687,156.120154618474,189.515386740331,156.709961702128,165.470312883436,120.833518072289
10,87.3681318681319,90.2099737532808,86.9738562091503,88.0822510822511,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,182,381,153,462,1719.82321428571,48.2819265091863,85.625908496732,177.022753246753,47.2077032967033,49.2874120734908,44.7951045751634,46.7212077922078
