,3n75 wt,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n3n75 wt,nhalf,nfiber,nwt,y3n75 wt,yhalf,yfiber,ywt,r3n75 wt,rhalf,rfiber,rwt
1,0.987188445667125,0.876766081871345,0.925932452276065,0.965980572045332,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,727,1539,1362,1853,2436.789565337,29.4234587394412,83.3776497797357,483.797462493254,2113.34477028886,1826.71122547109,1920.19346035242,1810.60628818133
2,0.985828249648052,0.897410987482615,0.932514837325706,0.963722792607803,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,2131,1438,2797,487,2325.81204551854,23.9560278164117,72.4259710404004,490.648351129363,330.895098076021,341.717543810848,293.921127636754,317.19059137577
3,0.986359381529461,0.904671480144404,0.93279093799682,0.965808943089431,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,2393,554,2516,1968,2326.39959632261,23.1500631768953,74.1331029411765,492.049295223577,325.870461763477,320.246590252708,311.491054848967,306.244267276423
4,0.989674085850556,NA,0.946797555791711,0.973037489812551,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,629,NA,1882,1227,2425.92154372019,NA,79.2627640807651,504.796681336593,155.009583465819,NA,160.418620616366,150.492570497148
5,0.986707547169811,0.902466382978723,0.931811088295688,0.963826550387597,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,530,1175,974,2064,2292.33969622642,21.2807174468085,73.4259507186858,467.651815406977,55.1441716981132,49.9716544680851,54.6948993839836,52.6058144379845
6,0.984693711967546,0.872596244131455,0.931562444641275,0.963596196868009,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,493,1278,1129,894,2394.03620892495,19.7796447574335,77.2255969884854,521.778880313199,217.674886409736,206.359320813772,210.087106288751,209.786294183445
7,0.98590299051787,0.900565217391304,0.939216691068814,0.964392722710163,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,1371,1656,1366,797,2316.37824872356,21.2997481884058,77.8643257686676,502.008673776662,84.8310882567469,79.8458641304348,80.8933382137628,79.1206549560853
8,0.987504950495049,0.898887301587302,0.939318739054291,0.969509225092251,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,1414,630,571,542,2339.69986562942,21.5209285714286,78.7200245183888,509.772767527675,23.2805162659123,20.1836079365079,20.4777530647986,21.0206365313653
9,0.987396504139834,0.883921367521368,0.937955465587045,0.966927113702624,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,1087,585,494,343,2470.32177644894,24.1194598290598,79.18345951417,490.142915451895,187.483973321067,210.314406837607,147.300923076923,156.773548104956
10,0.984309397163121,0.875274556213018,0.929369477911647,0.951729559748428,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,1128,845,498,159,2334.72730407801,24.1123301775148,79.929,455.801742138365,50.2298102836879,48.6942911242604,44.8316827309237,48.3957987421384
11,0.987754598662207,0.886187823834197,0.939651741293532,0.967388324873096,1,0,0,1,0,0,0,0,0,0,Oxygen-growth,1,SPE2,2392,1544,804,394,2360.11988419732,21.8671334196891,79.1493992537313,505.936322335025,96.7296939799331,96.7921379533679,98.4972263681592,94.0705253807107
12,0.988160546875,0.894745562130178,0.94249945474373,0.969529224229543,1,0,0,1,0,0,0,0,0,0,Stress-related,0,GSY2,2560,1352,1834,941,2391.84185625,21.9792056213018,79.8861139585605,522.382750265675,29.29526953125,29.3311486686391,27.1639683751363,27.5319373007439
13,0.987007885514019,0.897227967097532,0.930280686695279,0.964444720496894,1,0,0,0,0,0,0,0,0,0,Multivesicular-body-sorting,1,IST1,3424,1702,2330,805,2196.7234713785,22.3715857814336,72.8898854077253,471.083529192547,7.58182038551402,6.53681022326674,6.47162746781116,6.45274658385093
14,0.987388611388611,0.891114285714286,0.933341784989858,0.966639477977161,1,0,1,0,0,0,0,0,0,0,Multivesicular-body-sorting,0,VPS4,1001,1505,1972,1839,2251.5348021978,21.8730857142857,77.9248149087221,472.072604676455,40.3301328671329,38.5216797342193,39.0342053752535,39.5312501359434
15,0.983288809946714,0.898466593647317,0.926120176730486,0.959341958041958,0,0,0,0,0,0,0,0,0,0,Stress-related,1,TIF3,2815,1826,3395,2860,2160.97125719361,22.1152382256298,73.9357873343152,466.639294405594,353.879287033748,362.039633077766,359.801563181149,353.670777622378
16,0.98699854862119,0.905614203454894,0.935497991967871,0.96630112923463,1,0,0,1,0,0,0,0,0,0,Chaperone,1,HCH1,1378,1563,747,797,2269.96049201742,21.3665834932821,79.1881311914324,490.283982434128,291.711192307692,290.256787587972,307.858174029451,300.906874529486
17,0.983773317591499,0.938008987210508,0.930873350923483,0.955114427860697,0,1,0,0,0,0,0,0,0,0,Protease,0,CYM1,847,2893,1137,1206,2258.14767650531,19.885909782233,76.9970114335972,459.271082089552,36.1148500590319,30.0117338403042,35.0404160070361,32.6911069651741
18,0.989062432723358,0.875127272727273,0.940235919234856,0.969331920903955,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE9,929,2585,941,1416,2277.15473196986,21.3187760154739,74.5775611052072,460.513165960452,146.80179547901,146.079830560928,149.628280552604,138.400437146893
19,0.987646226415094,0.85613698630137,0.935860273972603,0.968758347481607,0,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN2,1908,584,1460,1767,1924.3800639413,21.1815154109589,67.8861363013699,421.29775721562,167.582549790356,171.847635273973,181.731090410959,173.077936049802
20,0.988465171192444,0.867786489746683,0.943538692712246,0.970560747663551,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE6,847,829,1331,749,2228.81168713105,21.9306911942099,79.1499481592787,483.29840987984,132.449351829988,137.188862484922,148.753068369647,136.563777036048
21,0.989963286713287,NA,0.940185926404132,0.971801610541728,0,0,0,1,0,0,0,0,0,0,RNA-related,1,REF2,572,NA,1549,1366,2323.8422972028,NA,76.0158734667527,477.428755490483,20.4779702797203,NA,19.358574564235,18.4594092240117
22,0.984062310030395,NA,0.924070140280561,0.952975190839695,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,YPK1,658,NA,499,524,2146.26987386018,NA,72.5983266533066,431.880958015267,36.3384650455927,NA,32.9086693386774,35.1450534351145
23,0.985534233365477,0.894888597640891,0.933062039957939,0.962059139784946,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG3,1037,763,951,1116,2333.50661427194,21.2520576671035,77.4233659305994,492.167295698925,19.110587270974,16.3681363040629,16.7926803364879,17.1307231182796
24,0.987060606060606,0.892174991505267,0.935782019704434,0.966510936623668,1,0,0,0,1,0,0,0,0,0,Autophagy,0,ATG18,330,2943,812,1783,2410.76222424242,21.1862327556915,80.5265972906404,482.759305103758,28.4247696969697,25.3728929663609,27.3862278325123,25.658939988783
25,0.986534977578475,0.889995384615385,0.923067196367764,0.963640951276102,1,0,0,1,0,0,0,0,0,0,Proteasome,0,RPN14,2230,650,4405,1724,2085.46139013453,19.9130953846154,74.1857970488082,453.29762587007,13.553464573991,11.4012476923077,10.5932994324631,12.2218747099768
26,0.985425327951564,0.904497402147558,0.929309312119794,0.963462460063898,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG40,1982,2887,2137,1252,2092.84863269425,19.2313349497749,78.8383818437061,462.770571884984,13.5408486377397,11.8181634915137,11.2375484323818,11.7748961661342
27,0.98572131147541,0.888472240581626,0.919443540514156,0.963502109704641,1,0,0,0,0,0,0,0,0,0,Signaling,1,STE50,915,3026,3073,948,2005.12580437158,19.0609296100463,72.9702180279857,480.22082278481,10.5048961748634,8.29755981493721,8.36639570452327,8.93694620253165
28,0.983179987413468,0.880374871794872,0.927825361512792,0.958909159442141,0,0,1,0,0,0,0,0,0,0,Autophagy,0,ATG15,1589,1950,1798,2653,1877.13776777848,18.814,84.3277002224694,427.05323558236,17.9441655129012,15.6340974358974,16.2078581757508,15.9910851865812
29,0.985664918032787,0.881601119664101,0.922904712584153,0.962173142467621,1,0,0,1,0,0,0,0,0,0,-,1,PTC1,1525,1429,1931,2934,2036.25047934426,19.6076689993002,74.5486116002072,403.772622358555,7.72800655737705,6.36356752974108,6.21317244950803,6.36630265848671
30,0.987089715536105,0.890609422492401,0.922282926829268,0.964029560201875,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PGM2,914,1974,1640,1387,2151.88524726477,19.510037993921,74.4157987804878,434.393570295602,30.4084562363239,28.4226266464032,29.6267317073171,27.2197541456381
31,0.98709375,0.894754777070064,0.930680141843972,0.968398716119829,1,0,0,1,0,0,0,0,0,0,Stress-related,0,PBP1,1600,1570,1410,1402,2081.705160625,19.6544968152866,79.0345106382979,462.127109129815,52.852611875,51.8541904458599,53.1460943262411,52.6528017118402
32,0.98901623686724,0.860241573033708,0.925231330713083,0.968691460055096,0,0,0,1,0,0,0,0,0,0,Proteasome,0,BLM10,1047,712,1781,1452,2162.62425978988,21.3625842696629,76.7877900056148,447.359329201102,26.8373638968481,26.9722092696629,25.7051049971926,25.8799944903581
33,0.988044897959184,0.889850346878097,0.929834575260805,0.968310895211659,1,0,0,1,0,0,0,0,0,0,Stress-related,0,YAP1,490,2018,671,1441,2206.06878163265,19.9360024777007,80.1112459016394,461.543700208189,16.8265795918367,14.1057348860258,15.7790387481371,14.7497314365024
34,0.984568345323741,0.897440182054616,0.92591797235023,0.960815268065268,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TSL1,834,1538,1085,1716,2228.28273261391,19.8135123537061,79.7869152073733,458.809975524476,27.8927134292566,23.2579297789337,24.3769889400922,22.9443490675991
35,0.986910976663786,0.872839030722631,0.919425427872861,0.963315749235474,0,0,0,1,0,0,0,0,0,0,-,1,LRS4,1157,2311,818,1308,2252.74897234226,19.3949692773691,77.7248092909535,467.858739296636,14.3651477960242,10.5553613154479,12.1866552567237,12.1683096330275
36,0.985409376308079,0.88268679245283,0.921836065573771,0.961466453674121,0,0,0,0,0,0,0,0,0,0,Vacuole-related,1,VPS3,2389,2915,1525,939,2185.32467182922,20.5246929674099,77.7745816393443,507.31543343983,11.4594445374634,9.83077804459691,9.41584459016393,10.9522119275825
37,0.988127964110233,0.880335377069283,0.920276215277778,0.967594902749832,0,0,0,0,0,0,0,0,0,0,Structural,1,KRE28,4681,1631,5760,1491,2052.09967934202,20.5827584304108,73.1822680555556,454.069269617706,21.0861591540269,19.6209711833231,19.574109375,21.2552461435278
38,0.984444644464446,0.895364201367309,0.92522946973252,0.960153179190751,0,0,0,0,0,1,1,0,0,0,Structural,1,BNI1,2222,1609,2131,1384,2011.21311476148,21.1413673088875,83.9039770061004,460.792911849711,17.3537115211521,15.3701354878807,15.8867273580479,16.0973056358382
39,0.986145681581686,0.886700913242009,0.926070422535211,0.962905291540276,1,0,0,0,0,0,0,0,0,0,Autophagy,0,ATG2,2883,438,1562,2967,2075.98302636143,21.0645479452055,80.6439366197183,450.74428008089,9.64791501907735,8.48233561643836,8.06483738796415,8.3640596562184
40,0.989565065065065,0.864090361445783,0.934237193284546,0.972497859589041,0,0,0,1,0,0,0,0,0,0,RNA-related,1,MED1,1998,1992,2323,2336,2151.96830830831,20.1648760040161,82.0632544123978,452.410484160959,26.1872147147147,23.9566857429719,24.2578204907447,23.8605817636986
